stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,1,0,1,1,0,0,0,0,0,7,0,0,0,7,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,13.25,0.85,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,0,0.74,0.37,0.74,9.62,0,0.37,0.37,0.74,0
3Month,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0
22Month,0.14,0.14,0.27,0,0,2.19,0,0,0.14,0.41,0,0,0,0,0,0.55,0,0.14
