stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,2.54,0,0,0.28,1.41,1.41,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,1.11,0.37,0,0,5.18,21.09,0,0,0,0.37
3Month,0,0,0.21,0,0,0.21,4.58,0.1,0,0.31,0.1,0.21,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1
22Month,0.14,0.14,0.55,0.14,0.14,0.68,12.57,0,0.14,0.96,0,0.41,0.14,0.41,0,0.14,0,0.14,0,0.14,0,0.14,0.14,0,0
