stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,37,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,1.97,0.56,0.28,0,0,0,0,0,0,0,0,1.13,1.69,0,0.85,0.85,0,0,1.41,1.13,0,0,1.41,0,0,0.56,0,0,0,0
21Day,0.74,0,0,11.84,0,0,0,0,0,0,0,0,0,0,0.37,2.59,0,0,0,0,0,0,1.48,0,0,1.11,0.37,0,0,0,0.37,0,0.37
3Month,0,0.1,0.1,7.39,0,0,0,0.94,0.21,0,14.46,0.1,0,1.25,0.73,1.04,0.1,0.42,0,0.1,0.31,0.1,0,0.21,0,0.1,0.21,1.25,0.1,0,0.42,0.31,0
22Month,0,0.14,0.14,3.83,0.14,0,0.27,0.14,0.27,0.14,15.71,0.27,0.14,0.27,0.14,0.27,0.96,0.68,0.55,0.14,0,0,0,0.14,0.14,0,0.14,0.82,0,0,0,0,0.27
