stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,2,2,0,1,0,0,2,4,2,16,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0.85,0,1.97,5.36,4.79,0.28,0.56,0,0.28,0
21Day,0.74,1.11,0.37,0,0.37,0,0,1.85,2.59,1.11,0,0.37,0.37,0,0.37
3Month,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
