stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0.56,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0
3Month,0,0.52,0,0,0,0.1,0.42,0.62
22Month,0,0.27,0.14,0,0,0,0,0
