stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,11,0,0,0,0,2,84,0,0,1,0,0,0,1,0,0
72hpf,1.13,0.56,0,1.41,0.85,0,0,0,0,0,0,0,0,0,0,0.28,2.54,0.85,4.79,0,0,0.28,0.28,15.5,13.53,0,0,1.13,0,0,1.69,0.85,0,0
21Day,1.85,0,0.37,4.44,0,0.74,0,0,0,0,0,0,0,1.11,0,0.37,0.74,0,5.18,0,0,1.48,0,1.85,1.85,0,0.74,0,1.11,0,0.37,0.37,0,0
3Month,0,0,0,0.94,0,0,0.1,0.1,0.21,0,0,0.52,0.1,0.21,0.31,0.1,0.31,0.1,0.21,0.1,0,0,0,0,0,0,0.1,0,0.1,0.83,0.21,0.1,0.1,0.21
22Month,0,0.41,0,1.09,0,0,0,0.27,0.14,0.14,0,4.78,0.41,0.41,1.37,0.14,0.14,0.96,1.5,0,0.14,0.14,0.14,0.27,0.14,0.14,0.14,0.14,0,2.32,0.27,0,0,0
