stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,0.28,0,0.85,0,0,0.28,0,0,0,0,0,0.85,1.13,0.56,6.48,0,0,0.28,0,35.79,9.58,0,0,0,2.54,0,0,3.95,0,0,0,0,0
21Day,0.74,0,0,1.11,0,1.11,0,0,0,0,0,0,0.37,0.37,0,0.74,0.74,5.92,0,0,0,0,20.72,1.85,0,0.37,0,0.74,0,0,1.11,0,0.37,0,0,0.37
3Month,0,0.31,0.31,5.2,0.1,0,0,0.83,0,0,0.94,0.83,0.1,0.52,0.62,1.56,0.83,1.87,0.94,0,0.1,0.62,18.62,0.1,0.31,0,0,0.21,0.21,13.94,0,0.1,0,0.52,30.89,0.62
22Month,0,0.68,0.41,2.05,0,0,0.55,0.82,0.14,0,3.01,0.14,0.14,0.68,0,0.14,1.78,1.64,0.68,0.27,0,0.14,10.66,0.14,0.41,0.14,0.14,0,0,4.1,0,0.27,0,0.27,0.14,0
