stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.97,0,0.85,0,0,0,8.74,3.1,0,0.28,0,1.41,0.28,0,0.28,0,0,0,0,0
21Day,0,0,0,1.48,0.37,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0,0.37,0,1.48,0.37,0.37,0,0,0,0.37,3.33,0,0,0.37,0,0.37,0
3Month,0,0.21,0.1,3.02,0,0,0,0.21,0.42,0,1.98,0.21,0.31,0.83,0.21,0.42,0.31,0.42,0.1,0.52,0.21,0.1,0,0.1,0.31,0,0,0.21,0.62,0,0.1,0,0.1,0.21,0.52
22Month,0.27,0,0.14,1.37,0,0,0.14,0.82,0.68,0.55,7.24,0.68,0.55,2.46,0,0.82,1.09,1.23,0.14,0.14,0,0.41,0.14,0.14,0,11.62,0,0.14,2.46,0.14,0.14,0,0,0,0.41
