stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,3,0,0,0,0,0,0,0,0,0,0,17,5,4,0,0,0,0,2,15,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,3.38,0.28,0.85,0,0,0,0.28,5.36,0,0,0,0,1.13,0,0,0,1.13,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.74,1.85,0,0,0,0,0.74,0.74,0,0.37,0,0.74,0,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0.31,0.52,1.04,0.1,0.1,0.31,0.52,0,55.34,0.42,0.21,0.42,0.21,0.94,0.73,4.26,1.77,0.31,0.21,13.63,0.1,0,0.21,0.42,0,0.1,0.52,1.77,0,0,0,0.42,2.5,0.73
22Month,0,2.87,0.14,3.01,0,0,0.41,4.37,1.37,43.18,0.96,0.82,0.82,0.14,0.55,1.78,5.74,0.14,2.73,0.27,0,0,0,0.14,0.14,54.93,0,0,2.32,0.14,0,0,0.41,0.14,0.96
