stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,1.41,1.41,0,0,0,0,0,0.28,0,0,0
21Day,2.59,0,1.48,0.37,2.22,1.11,0,0,0,0.37,0,1.48,1.11,0,0.37,0,0,1.48,1.11,0,0,0.74,0.37,0,0,0,0,0
3Month,0.52,0.1,2.18,0,0,0,0.1,0,0.73,0,0.21,0.1,0.83,0.21,0.21,0.1,0.1,0,0.1,0.1,0.1,0.31,0,0.1,0,0.1,0.52,0.1
22Month,0.14,0,0.55,0,0,0.14,0,0.27,2.46,0.14,0.41,0,0,0,0.14,0.14,0,0,0.14,0.14,0,1.5,0,0,0.14,0,0,0
