stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74
3Month,0.21,0,0.1,0.83,0,0.21,0.1,0.1,0.42,0.1,0.52,0,10.3
22Month,0,0.14,0,0.82,0.14,0,0,0,0.55,0,0,0.14,5.06
