stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,207,0,0,0,0,0,2,0,0,4,0,0,0
72hpf,20.86,3.95,0,14.94,3.95,19.17,0,0.28,0,0,0.85,0.28,0,0,0,0,3.66,44.25,5.64,18.32,1.69,0.56,659.81,1515.78,0,36.64,31.29,0.28,0.28,609.36,3.38,1.69,20.86,0,0,0
21Day,5.92,0.37,0.74,15.17,0,14.06,0,2.22,0,0,0,0,0.74,0.37,4.07,1.11,0.37,7.77,2.22,13.32,0,1.48,174.63,349.64,0.74,9.99,5.18,11.1,0,165.75,1.85,5.55,6.66,0.37,0,1.85
3Month,0,0.1,0,1.77,0,0,0.1,0,0.1,0.31,0.62,0,1.35,0.83,0.21,0.52,0,0.42,0.31,0.62,0,0.21,2.5,4.06,0,3.85,0,0.1,0.94,29.12,0.1,0,0.21,0,0.83,0.31
22Month,0,0.27,0,0.82,0,0,0,0,0,0,0.55,0,6.42,0.41,0,0.55,0,0.27,1.23,0.27,0.27,0.41,1.23,2.46,0.14,5.47,0,0,0.55,44.55,3.55,0,0.14,0,0,0
