stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0.28,0,0,54.96,18.04,0,0.85,0.28,0.28,0,1.97,1.13,0.28,0.56,0,0,0
21Day,1.11,0,0.74,0.37,1.48,0,1.48,0,0,0,0,0.74,0.37,0.74,0,0.74,0,0.37,0,24.05,9.25,0.74,1.48,0.74,0.37,0.74,1.85,2.22,1.85,0,0,0,0.37
3Month,0,0.52,1.56,0,0,0.1,0.42,0.21,0.42,47.95,0.73,0.1,1.14,0.42,0.31,0.31,0.1,1.66,0.1,0.73,0.1,1.04,1.77,0,0.31,5.62,0.73,0,0,0.31,0.1,0.73,0.62
22Month,0.14,0.41,0.55,0,0,0.14,0.14,0.27,0.68,30.2,0,0.41,0.55,0,0.27,0.55,0.96,1.23,0,0.14,0,0.41,0.55,0.14,0,1.23,0.55,0,0,0.14,0,0,0
