stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.85,2.25,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0.37,0.74,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0.52,0.52,0.83,1.35,0.52,0,1.56,0,0.31,0,0.52,0.1,0,0,0.52,0.1,0.21,0.1,0.1,4.99,2.6,0.1
22Month,0,0.27,0.14,2.73,0,0.14,1.23,0,0,0.14,0,0,0.14,0.14,0.14,0,0.14,0,0,0.82,0,0.14
