stage,Cardiomyocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,1,3,1,0,0,0,0,0
72hpf,0,0,0,0.28,0,5.07,0.85,0,0.28,0,0,0.56
21Day,0.74,0,0,0.37,0,4.07,0.37,0.37,0,0,0.37,0
3Month,0,0.42,0.1,0.1,0,0.31,0,0.31,0,0.1,0,0
22Month,0,0.14,0,0,0,0.27,0,0,0,0,0,0
