stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,2,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,1.41,0,3.66,3.66,0,0.56,0,0,0.28,0
21Day,0.37,1.11,0,0.74,0,0.37,0,0.37,1.85,0.37,2.59,2.22,0,0.74,0,0.37,0,0
3Month,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0.41,0,0.14,0,0.14,0,0,0,0.14,0,0.14,0,0,0
