stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,2.54,1.13,0,0,0.28,0,0
21Day,0,0,0,0,0,0.37,0.37,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0.73,0.1,0.1,0.83,0,0.21,0.21,0.42,0.1,0.1,0,0,0.62,0,1.35,0.1
22Month,0.14,0,0.14,1.09,0.14,0.41,0,0.41,0,0,0,0.14,0.41,0,0,0
