stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0,0,0,0,7.05,0.56,0,0,0,0.28,0.56
21Day,0,0.37,0,0.37,0.37,0,0,0.37,0,0,5.92,0.74,0.37,1.48,0.37,0,0
3Month,0,0.31,0.21,0,0.1,0,0.1,0,0,0.1,0,0,0.21,0,0.21,0,0
22Month,0,0,0.27,0,0.14,0,0,0,0.14,0,0,0,0.14,0,0,0,0
