stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,1.13,0,0,8.74,0.28,0,0,0,3.66,0
21Day,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,9.62,0,0,0.37,0.37,2.22,0
3Month,0,0.21,0,0.21,0.1,0.21,0.1,0.21,0.1,0.21,0,0.1,0.1,1.14,0,0,0,0,0.1,1.14
22Month,0,0,0,0,0,1.23,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0
