stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,1.69,0.28,0,0,0,0,0,0,0,0
21Day,3.7,0,2.96,0,0,0,0,0,0,0,0,0,18.13,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0,1.04,0.1,0.21,0.21,0,3.02,0.31,0,0.62,0.31,0.31,0.21,0.31,0.1,0,0.21,0,0,0.1,0,0,0.1,0.62,0,0.1,0.52
22Month,0,0.27,0.55,0,0,0.14,0.27,10.11,0.82,0.14,0.68,0,0.27,0.27,0.41,0.14,0.27,0.14,0.14,0,0.14,0.27,0.14,0,0.41,0,0,0.41
