stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.28,0.85,0,0.28,0.56,0,0,1.13,0.28,0.28,0,0.28,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0,1.85,0,0,0,0,0.37,0
3Month,0.1,0.52,0,0.1,0,1.46,0.1,0.21,0.1,0.1,0.1,0,0.42,0.1,0.21,0,0,2.91,0.42,0,0.73
22Month,0,0.55,0,0,0.14,1.09,0,0.14,0,0,0,0,0,0,0,0.14,0,0.68,0.41,0,0
