stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.56,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0,0.74,0,0,0,0,1.11,0.74,0,0,0,0.37,0,0.37
3Month,2.29,0,0.1,0.1,0.73,0,0,0.62,0.1,0.42,0.31,1.14,0.21,0.1,0.31,0,0.1,0.1,1.04,0,1.66,0.52
22Month,0,0,0,0,0,0.14,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
