stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Primordial_germ_cell,Spermatocyte
21Day,0.74,0,0,0,0,0,0
3Month,0.52,0.1,0,0.1,1.14,0.1,0.21
22Month,0,0,0.14,0,0,0,0
