stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,62,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,20,27,0,0,0,0,3,35,0,0,12,0,0,0,0,0,0,0
72hpf,0.85,47.63,0,0,0.28,1.13,0,0,0,0,0,0,0,0.28,0,0.28,1.13,0.85,2.82,0,0,0,0,5.64,2.25,0,0,3.95,0,0,0.28,0,0,0,0
21Day,0.37,22.2,0,0.74,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,2.96,0,0,1.11,0,1.11,1.48,0,0,2.22,0,0,0,0,0,0.37,0
3Month,0.1,161.54,0.42,4.58,0.21,0,0.21,0.1,0.42,1.56,0,5.2,1.56,0.1,2.5,0.52,2.08,1.98,1.66,0.42,0,1.87,0.31,0.73,0.1,0.1,0,0.21,0.52,20.39,0,0,11.34,0.83,0.62
22Month,0,232.03,0.27,2.05,0.27,0,0.14,0,0.41,7.52,2.46,36.35,1.09,0.41,1.78,0.14,0.27,2.19,2.73,0.14,0.82,1.09,0,0.14,0,0.27,0.14,0.14,0,11.07,0.41,0.27,4.24,0,0.96
