stage,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,0
72hpf,0,0.56,0,2.82,0.28,0.28,0.28,0,0
21Day,0,0,0.37,0,0,0,0.37,1.48,0
3Month,0,0,0,0,0,0,0,0,0.21
22Month,0.55,0,0,0,0,0,0,0.96,0
