stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.97,0,0,0.56,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0.1,0,0.52,0.1,0.42,1.77,0.1,0,0.31,0.1,0.1,0,2.39,0.31,0,0,0,0,0,0.21,1.66,0.62,0.1
22Month,0,0.14,0.68,0,0.27,2.87,0,0.14,0.27,0,0.14,0.27,5.19,0,0.14,0,0,0.14,0.14,0,0.55,0,0
