stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,2.25,1.41,0,0,0,0,0
21Day,0.74,0,0.74,0.37,0.74,0.37,0.37,0,0,0,1.48,0,0,0,2.59,0,0.37,4.07,2.59,0.74,0,0,0,1.85
3Month,0,0,0.31,0,0,0,0.42,0,0.52,0,0.21,0.21,0.21,0.1,0.1,0,0.21,0,0,0,0.83,0.1,0.1,0.83
22Month,0.14,0.14,0.14,0,0,0,0.41,0.96,1.5,0.41,0.14,0.55,0,0.41,0.68,0.14,0,0,0,0,0,0,0,0.41
