stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,3.66,0.28,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.37,0,1.48,0,0,0,0,0,0,5.92,0,0,0.74,1.48,0.74,0,0,0.37,0,2.59,0.74,0,0,0.37,0.74,0,0,0.37,0,0,0,26.27
3Month,0.1,0,0.83,0.1,0.1,0.52,0,1.46,0.62,0,0.83,0.1,0.94,0.62,0.52,0.1,0,0.1,0.1,0.21,0,0,0,0,0.31,0.73,0.1,0,0.1,0.31,2.7,24.86
22Month,0.96,0.82,7.11,0,1.64,0.96,0.27,6.42,0.27,0.82,12.03,0.14,0.82,4.51,0.96,0,0.41,0,0,0.41,0,0.14,0,0,0,1.23,0,0,0,0,0,11.48
