stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,0.85,1.41,6.76,0,0,0,0,0,0,0,0,0,0.85,5.07,0.85,1.69,0,0,0,0,26.49,6.2,0.28,0.85,0,1.69,0,0,0.28,0.85,0.28,0,0,0,0
21Day,1.85,0,0.37,5.55,0,9.62,0,1.85,0,0.37,0,0,0.37,3.33,0.37,0,2.22,0.37,5.18,0,0,0.74,0,12.21,5.55,0,0,0,2.22,0.37,0,0.74,0,0.74,0.37,0,0,0.37
3Month,0.52,1.66,0.52,29.23,0.21,0,0.62,1.14,3.02,2.91,0.21,84.98,4.89,1.35,7.49,4.26,10.3,4.26,12.27,3.85,0.31,1.66,1.66,1.14,0.31,1.66,1.56,0,0.31,1.25,0.1,32.87,0.83,0.1,0.31,0.31,5.93,3.22
22Month,0.41,2.6,0.41,8.34,0,0,0.96,1.09,0.82,2.32,29.24,106.86,4.65,2.87,6.97,0.96,3.14,5.6,16.53,0.96,1.78,0.55,0,1.37,0.14,2.05,2.46,0.82,0.41,0.27,0,13.66,0.68,0,0.27,0.14,0,1.37
