stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0.28,0,0,0,0,1.41,0,0,0,1.69,0,0,0.28,0,0,0,0
21Day,0.37,0,0,4.81,0,0.74,0,0.74,0.37,0.37,0,0,0.37,1.48,0,0,4.07,1.11,2.22,0,0,0.37,1.48,0.37,0,0,0.37,0,0.37,0,0.37,0,0,1.48
3Month,0,0.21,0.52,4.89,0,0,0.21,0,0.73,0.73,0,2.5,1.04,0.1,2.91,0.62,0.73,1.77,0.62,0.21,0,0.31,0.31,0,0.21,0.21,0,0.21,0,0,0,0.31,0.31,2.7
22Month,0,0.68,0.27,2.6,0,0,0.27,0,0.27,4.1,0.14,8.88,0.96,0.68,2.46,0.14,0.41,1.09,0,0,0.14,0.68,0.14,0,0,0.14,0,0.27,0.14,0,0,0,0,0.68
