stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,1,3,0,0,1,6,26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0,1.13,2.54,0,1.13,0,0,0.28,5.64,4.79,0,1.13,0,0,0,0,0.28,0.28,0,0,0
21Day,0,0,0,3.7,0.37,1.11,0.37,0,0,0,0,0,0,0.37,0.37,0,1.48,0,1.85,0,0.37,0,1.85,1.11,0,0.37,0.37,0,0.74,0.37,0.37,0,0,0,0
3Month,0,0.1,0.1,1.66,0,0,0,0.21,0.21,0,0,4.06,1.04,0.1,0.73,0.31,0.83,0.21,0.62,0.21,0.21,0.1,0.42,0,0.1,0.21,0,0.42,0.1,0,0,0,0.31,1.14,0.31
22Month,0,0.41,0,0.14,0,0,0,0,0.14,0.14,0,3.14,0.14,0,0.68,0,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0
