stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,5.92,11.56,0,0,0,0.56,0,0.85,2.82,1.41,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0.37,19.61,0,0.37,0,0.37,0,0,0,0.37,0,0.37,0.74,8.51,4.44,1.85,1.48,0,0,0,0.37,0.37,0.74,0,0.37,0,0.37,0,0,0,0.37,0,0,0
3Month,0,0.1,0.21,17.37,0.1,0,0.31,0,1.04,0.31,0,9.78,0.31,0.1,14.25,3.95,4.06,0.94,0.42,0.1,0,0.1,0.94,0.1,0.1,0.42,0,0,0,0.31,0.1,2.91,0,0.21,2.08,0.42
22Month,0.14,0.27,0.96,8.61,0,0,0.27,0,2.32,0.68,0.82,44,0.27,0,18.99,2.05,1.09,3.55,1.09,0,0.41,0.41,0,0,0,0.55,0.55,0.14,0,0,0,1.78,0,0.14,0,0
