stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,0.37,0.74,0,0,0,0,1.48,0,0,0.37,0,0,0.74,0,0,0,0,0,0.37,0,0,0,4.07
3Month,0.31,0.31,1.35,0,0.1,0.52,0.94,0.52,0.52,0.73,0.42,3.54,0.94,0.52,0.21,0.21,0.1,0.1,0.21,0,0.1,1.46,0.94,0.21,23.51
22Month,0,0,0.14,0,0.14,0.14,1.37,0.14,0.14,0.27,0,0.96,0.41,0,0,0,0,0,0,0,0,0,0,0,7.79
