stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0.28,0.56,0,0,0,0,0.28,0,0.56,0.28,0,0,0.56,0.28,0,0,0.28,0,0
21Day,0.74,0,0,0,0,0,0,3.33,0,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0,0,0.21,0,0.21,0,0.52,0.1,0,0.1,0.1,0,0,0.1,0.94,0,0.21,0.1
22Month,0,0,0.14,1.09,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0,0
