stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,5.18,0,0,0,0
3Month,0,0.52,0.21,5.1,0,0.1,0.1,1.98,2.29,7.18,2.29,0.1,3.02,0.73,1.56,1.77,2.39,0.21,0.21,0.94,1.04,0.52,0.62,0.73,0.31,0,0.21,2.29,300.4,0.83,0.94,130.44,1.56
22Month,0,0.14,0,0.14,0,0,0,0.14,0,2.46,0,0,0.68,0,0.14,0.14,0.27,0,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0,42.91,0,0,0.68,0.14
