stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,2,8,2,0,0,0,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,12.4,0,0.28,0,0,0,0,0,0,0,0.56,1.69,0,0.56,0,0,0,0,8.17,1.41,0,0.28,0.56,0,0,1.69,0,0.28,0.28,0,0,0
21Day,0.37,0,0,3.33,0.37,14.06,0,0.37,0.37,0,0,0,0.37,0.74,0,1.85,4.07,0,0.37,0,0,0.37,0,2.22,0.74,0,0,0.74,0,0,0,0.74,0.37,0,0,0,0.37
3Month,0.21,0,0.31,4.58,0.1,0,0.21,0,1.77,0.1,0,0,14.35,0.83,1.56,1.66,3.22,1.25,0.42,0.31,0.21,1.46,0.73,0,0,0.1,0.21,0,0.21,0.31,0.21,0,0,0,0.1,24.65,0.31
22Month,0,0.41,0.41,0.68,0,0,0.14,0,1.09,0.27,0.41,0,18.58,0.82,2.32,0,0.14,1.23,0.41,0,0.55,0.14,0,0.14,0,0.14,0,0,0.14,0,1.09,0,0,0,0.14,0.27,0.14
