stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Keratinocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,0.56,0.28,0,0.28,0.28,25.37,0.28,0.85,0.28,8.17,5.64
21Day,0,0,0.37,0,0,2.96,0,0,0,6.66,8.14
