stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.56,0,0,0,0,0,0.28,0,0.56,0.56,0.56,2.25,0,0,0,0,77.51,9.02,0,0,4.51,0,0,0.28,0,0.28,0,0,0
21Day,0,1.48,0,0.74,0,0,0,0,0,4.07,0,0,0.37,0,0,0,0,0.37,0,5.55,0.74,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0,1.25,0.31,0,0.62,0.1,0.1,1.66,0.21,0.21,0.21,0.31,0.1,0,0.21,0.1,0.1,0.1,0.1,0,0.1,2.18,0.21,0,0.31,28.4,0,0,0,0.1,11.75,1.25
22Month,0,0.27,0.14,0,0.27,0.68,0.14,4.37,0.55,0,0.55,0,0.14,0.68,0.27,0,0,0,0,0.55,0.14,2.05,0,0,0,4.1,0.14,0.14,0,0,0,0
