stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.28,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0,10.43,0,0,0,6.48,3.95,0,0,0,2.25,0,0,0,0.28,0,0,0,0
21Day,0.37,0.74,0.37,3.33,1.48,1.48,0,0,0,1.85,0.37,0.37,0,0,1.85,0,13.69,0,1.11,0,10.36,2.96,0.37,0.37,0,2.96,0.37,0,0.74,0.37,1.11,0,0,0
3Month,0,0.1,0,0.42,0,0,0,0.1,0,0.42,0.1,0,0.1,0.1,0.31,0,0.73,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.31,0.1,0.31
22Month,0,0.55,0.14,0.96,0,0,0.14,0.27,0.14,4.78,0.14,0,1.23,0,0.27,0.14,1.91,0.14,0,0.14,0.82,0,0.14,0,0.14,0,0,3.01,0,0,0,0,0,0
