stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,4,1,0,6,0,0,0,0,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.97,27.34,0.28,0,0,0,0,0,0,0,0.28,0,1.13,5.36,0,4.79,0,0.28,0,1.13,28.75,12.4,0.28,12.97,0,0.85,0.56,0,0,1.69,0.56,0,0,0,0,0
21Day,2.22,0,0,3.7,32.19,1.85,0,0,0,0,0,0.37,0,2.59,0.37,1.48,16.65,1.85,4.81,0,0,0.37,0,15.54,4.07,1.85,31.82,0,1.11,2.59,0,0,1.11,0,0.74,0.37,0,0,1.11
3Month,0.1,0.73,0.1,10.82,8.11,0,0.31,0.83,0.83,0,0,5.82,1.04,0.42,1.25,18.72,9.05,13.83,2.08,0.73,0,0.42,0.52,6.35,0,8.63,29.64,0,0.1,0.42,0.1,5.2,0.31,0,0,0.31,0.94,1.56,0.73
22Month,0.27,1.37,0.27,15.44,4.51,0,0.55,3.42,1.09,0.55,0,15.99,1.09,0.55,2.46,3.55,9.16,4.37,2.73,0.14,0.68,0.27,0,4.1,0.27,9.16,32.52,0.41,0,0,0,1.5,0.55,0,0,0.55,0.14,0,0.27
