stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0.28,0,0,0,1.97,0,0,1.41,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.31,1.25,0.42,12.48,0.31,0.21,0.1,0.1,4.37,5.3,0,14.46,1.77,0.42,4.58,2.91,4.68,8.43,5.62,1.87,0.1,3.95,1.35,1.14,0.21,0.83,0.42,0,0.73,0.52,5.41,0.21,0.1,1.56,1.35,9.78
22Month,0,4.51,0.14,6.15,0.14,0.14,0,0,1.64,5.47,1.23,20.5,1.09,0.68,7.11,0.55,1.37,5.6,4.51,0.14,0.55,1.23,0,0.82,0,0.96,0.82,0.14,0.14,0,0.41,1.37,0,0.55,0,4.37
