stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,1,15,0,0,0,0,0,0,0,1,0,0
72hpf,0.28,1.13,0,2.82,0,0,0,0,0,0,0,0,0,1.41,3.38,0.85,2.54,0,0.56,0.28,0,1.13,1.41,0.28,0.28,0.56,0,0,0.85,0,0,0,0
21Day,0.37,0.74,0,5.18,0,0,0,0,0,0,0,1.48,0.37,0.37,4.07,1.85,3.7,0,0,0.37,0.74,1.11,2.59,0,0,0,0,0,0.37,0.37,0.37,0,0
3Month,0,0.52,0.1,2.7,0,0,0.21,1.56,0,3.12,1.14,0,0.94,0.21,1.77,1.87,0.73,0.21,0,0.21,0.1,0,0,0.21,0.1,0,0.31,0.1,0,0,0,0.52,0.73
22Month,0,1.09,0.14,0.68,0.14,0.14,0.68,1.37,0.68,10.8,1.09,0.55,1.37,0.14,0,1.91,0.27,0,0.27,0,0,0.27,0,0.14,0.14,0,0,0,0.14,0,0,0,0.55
