stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,7.61,0,1.69,0,0.85,0.85,0,1.69,0,0,0,0,0
21Day,2.22,0,0.37,0,0,0,0,0,0,0,0.37,0,3.7,0,5.92,0,0,0.74,0,0.74,0,0,0,0,0
3Month,0.1,0.52,0.52,0.1,0.62,0,0.94,0.1,0.62,0.1,0.31,0.21,8.22,2.91,6.76,0.1,0.1,0.1,0.31,0.83,0.21,0.42,0.21,18.31,0.31
22Month,0,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0.55,0,0,0,0,0,0,0,0,0.41,0
