stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,1.41,0,6.48,0,0,0.28,0,0,0.28,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,3.33,0,0,0.37,0,0,0,0.37,0
3Month,0,1.87,0.21,0.21,1.25,0.1,0.21,0.1,0.94,0.21,0.21,0,0.21,0,1.04,0,0.1,1.56,0,0,4.16
22Month,0,0.14,0.14,0,0.82,0,0.27,0,0,0.27,0.14,0.14,0,0,0.14,0,0,0,0,0,0
