stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Nephron_cell,Pancreatic_cell
3Month,0.31,0,0.21,0.62,2.39,0.21,0.1,0.1
22Month,0.14,0.14,0,0.68,0.41,0,0,0
