stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,1,4,5,0,0,0,0,4,22,0,0,1,0,0,0,1,0,0,0
72hpf,0,0.28,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0.28,3.1,0.85,0.85,0,0.28,0,0,3.95,4.79,0,0,1.97,0,0,0.28,0.28,0,0,0
21Day,0.74,0,0.74,6.29,0.74,0,0.74,0,0.37,0,0,1.85,1.85,1.11,0.74,0.37,2.22,1.48,6.66,0,0,0.74,0,5.18,2.22,0,0,2.59,0.74,0,0.74,0.37,0,0,0
3Month,0,0.31,0.31,3.54,0,0.21,0,1.46,0.73,0,0,17.06,1.25,0.21,2.29,0.31,1.56,1.46,0.62,0.21,0,0.73,0.62,0,0.1,0.42,0.1,0,0.1,3.85,0,0,0.1,0.62,0.62
22Month,0.14,0.68,0,0.96,0,0.14,0,0.41,0.82,0.41,0,31.16,0.82,0.27,3.83,0,0.14,1.37,0.41,0,0.27,0.27,0,0.14,0,0.14,0.14,0,0,0.27,0,0,0,0,0.41
