stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0.28,0,0,0,0
21Day,0,0.37,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0,1.85,0,0,0,0
3Month,0.1,0.83,0,0.21,0,0.73,0.62,0.31,0.42,0.1,0.31,0.1,0,0,0.21,21.22,0.1,0.42,11.55,0.21
22Month,0,0.27,0,0.14,0.14,0.82,0,0,0,0,0.14,0.14,0,0.14,0,8.61,0,0,0,0
