stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0
21Day,14.06,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.74,0,0,1.85,0.74,0,0,0,0,0,0,0,0,0,0.37
3Month,3.64,0.62,2.29,0,0.1,0.1,0.42,5.2,0.73,0.1,0.52,0.1,0.83,0.31,0.83,0.21,1.46,0,0.1,0.1,0.1,0,0.1,0.1,8.11,0.1,1.35,15.71,0.73
22Month,0.82,0.41,0.27,0.14,0,0,0.27,2.05,0.27,0,0.27,0,0,0.14,0.27,0,0.27,0,0,0.14,0,0.27,0,0,2.87,0,0,0,0
