stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,1.41,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,11.56,9.58,0,0,1.13,0,0,0,0,0,0
21Day,0,0,0,0.37,1.85,0,0.37,0,0,0,0,0.37,0.37,0,0.37,0,2.22,0,0,4.44,1.11,0,0,0.37,0,0.74,0.37,0,0,0
3Month,0,0,0.31,8.74,0.52,0.1,0,0.21,0.52,3.43,0.94,0.1,1.25,0.52,0.52,0.73,1.04,0.21,0.52,0.1,0,0.1,0.21,0,0.21,4.16,0,0.1,102.46,0.21
22Month,0,0,0,2.6,0.27,0,0,0.14,0.14,3.83,0.14,0,0.27,0.14,0,0.41,0.27,0,0,0,0.14,0.41,0,0.14,0.14,3.14,0,0,0.82,0.14
