stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0,2.25,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0.85,1.13,0,0,0,0,0
21Day,0,12.58,0,0,0.37,0,0,0.37,0,1.48,1.85,0,1.48,0,0.74,0.74,0,0,0,0,0
3Month,0,10.61,0.31,0.52,0,0,0.1,0.21,0.42,0.21,0.52,0.94,0.1,0.21,0.21,0,0.1,0.1,0.94,0.1,0.94
22Month,0.14,1.78,0,0.14,0,0,0.82,0,0,0,0,0.41,0,0,0,0,0,0,0.14,0,0
