stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.56,0.28,0.28,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0,1.85,1.11,0,0,0.74,0,0.74,0.37,0,0.74,0,1.11,2.96,1.11,0,0,0.74,0,1.48,0,1.48,0.37,0,1.85,0,0,0,0,0,0,0.74
3Month,0.1,1.14,0.73,5.62,0,0.42,3.02,6.45,0.1,130.33,3.12,0.42,25.38,0.62,1.04,10.92,0.83,0.31,0.21,0.42,0.73,0.83,0.1,1.25,0.52,0,0.31,1.35,1.66,0,0,0.21,0.73,2.39
22Month,0.14,1.5,1.37,3.01,0,1.09,2.73,38.13,6.7,262.64,2.6,0.68,26.92,0.27,0.27,22.27,3.42,0,3.14,0.14,0,0.41,0.14,2.05,0.41,0.68,0,0.14,0.68,0.55,0,0,0,1.37
