stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.85,0.28,0,0,0,0
21Day,0,0,1.48,0.37,0,0,0,0,0.37,0.37,0,1.11,0,0,0,0,0,0,0,0,0,1.48
3Month,0,0.1,0.62,0,0.21,0.52,0.94,0.31,0,0.73,0.31,0.1,0.42,0,0.1,0.1,0,0,0.1,0.1,0.1,0.21
22Month,0.14,0.14,0.41,0,0.14,0.68,1.23,0.41,0,1.23,0,0,0.41,0,0,0.14,0,0,0.14,0.14,0,0.27
