stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.1,1.46,0.1,0.21,2.08,0.94,0.1,0.83,0.42,1.25,0.52,0.62,0.1,0.31,0.1,0,0,0.83,0,0.1,1.04,0.62
22Month,0,0.14,0,0,0,0.14,2.32,0,0.27,0.41,0,0,0.55,0.27,0,0,0,0,0,0.27,0.14,0,0,0
