stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,0,0,0,0,0,0.28,1.13,0,1.13,0,0.28,10.15,2.54,0,0.28,0,0,0.28,0,0,0
21Day,0.37,2.96,0,0.37,0,0,0.74,0,0,0.74,1.11,2.22,0,0.37,4.81,0.37,0.37,0,0.37,0,0.37,0.37,0,1.11
3Month,0,0.42,0,0,1.56,0.31,0,1.25,0,0,0,0,0.1,0,0,0,0,0.1,0.1,5.82,0,0,0.42,0
22Month,0.27,0.41,0.14,0,3.14,0,0,0.14,0,0,0.14,0.68,0.55,0,0.14,0,0,0,0.14,0.14,0.14,0,0,0
