stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0
72hpf,2.25,0.85,0,4.51,0.28,0.28,0,0.28,0,0,0,0.28,0,0.28,0,1.13,18.32,1.13,7.33,0,0,0,0.28,10.71,42.28,0,0,3.66,0,0,1.69,0.28,0,0
21Day,1.85,0.37,0,14.06,0.37,1.85,0,0.74,0,0,0.37,0.74,0,2.59,0,0.37,36.63,0,12.95,0,0,0.74,0,2.59,12.58,0,0,6.66,0,0,0.37,0,0,0
3Month,0,0.31,0.1,16.33,0,0,0.21,0.31,0.21,0.94,0,1.66,0.62,0.1,1.04,0.31,1.14,0.73,0.1,0.21,0,0.1,0,0,0.1,0,0,0,0.1,3.43,0.1,0,0.52,0.52
22Month,0,6.15,0,4.65,0,0,0,0,0.55,1.37,1.23,4.92,0.41,1.23,1.23,0,0.14,1.91,1.23,0,0.82,0.14,0,0.27,0,0.55,0.14,0,0,0.27,0,0,0.27,0.41
