stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.85,0,1.97,0.28,0,0.28,0,0,0,0,0,0,0.28,0,1.69,4.51,0.28,3.1,0,0.56,0,0.28,20.01,4.23,0.28,0.28,4.79,0.28,0,0.56,1.97,0,0,1.13,0,0,0
21Day,2.22,0,0,9.25,1.48,0,1.85,0,0,0,0,1.48,0.74,2.59,2.22,2.59,3.7,1.11,9.25,0,0,2.22,0.37,14.43,3.7,0.37,0.74,5.18,1.11,0,0,0.74,0,1.85,0.37,0,0,1.48
3Month,0.1,0.42,0.21,8.84,0,0.42,0.1,0.1,2.29,3.12,0.1,24.34,1.77,0.62,7.28,1.56,1.77,1.77,4.89,0.94,0.1,1.04,1.04,0.62,0,1.25,0.83,0,0.62,0.1,19.66,0.1,0.1,0,0,1.25,4.89,5.3
22Month,0.27,1.64,1.91,6.56,0,0.82,0.27,0,2.19,6.97,1.91,64.5,2.6,1.5,11.07,0.55,0.55,4.65,2.87,0,3.01,0.82,0,0.27,0.14,0.82,0.96,0.14,0.14,0,4.37,0.96,0.14,0,0.27,0,0,3.83
