stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,2,0,0,16,0,0,0,0,1,0,2,3,0,1,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0,0,0,0,0,0.56,1.41,0,0.85,0,0.28,0,0,1.69,2.82,0,0,0,0.28,0,0,0.85,0.85,0,0,0
21Day,0,1.48,0,3.7,0.37,0,0,0,0,0.37,0,0.74,0.37,0,0.37,0,0,0,0,0.37,1.85,0,0,0,0.37,0,0,1.11,0,0,0,0.74
3Month,0,2.6,0.1,5.72,1.04,0.21,0,2.6,1.56,0.42,0.73,1.66,0.73,2.18,1.66,0.1,0,0.21,2.39,0,0,0.31,0,0,0.1,0.42,1.35,0.1,0,1.04,0.31,4.47
22Month,0,0.41,0.14,1.23,0.14,0.27,0,5.19,0.27,0,0.27,0.14,0.27,0.27,0.41,0,0,0,0,0,0,0.41,0.55,0.14,0,0,0,0.14,0,0.27,0,0.14
