stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,0.28,0,0,1.41,0.85,0,0.28,0.28,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0.37,0.37,0,0.37,0.37,0.74,0,0,0,0,0
3Month,0,0.52,0,0.21,0.1,1.04,0.21,0,0,0,0.1,0.1,0.1,0,0,0.21,0,0,1.35,0.21
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.27,0,0,0,0
