stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0.28,0.28,0,1.69,0,0,0,0,0
21Day,0,1.48,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,1.11,0,0,0,0,0
3Month,1.56,1.04,0.1,0.21,0.94,0.42,1.56,0,0.83,0.52,3.12,0.52,16.23,5.93,1.56,0,0,0,0.1,2.6,0,0.21,0.52,0.21
22Month,0.96,0.55,0,0.14,0.55,0.27,10.11,0.27,1.37,0,0.27,0.27,24.6,0.82,0.55,0,0,0.14,0,0.68,0.14,0.14,0,0
