stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,1,0,0,0,0
72hpf,0,3.38,0.28,0,0,0.28,0
21Day,0.37,2.59,0,0.37,0.37,0,0.37
