stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0.28,0,0.85,0.28,0,0,0,0,0.56,0,1.97,0.28,0.28,83.99,7.61,0,1.13,0.56,0.28,0,0
21Day,0.74,0.37,1.48,0,1.11,0,0,0.37,0.37,0.37,1.85,0,0.37,24.42,0,0.74,0.74,0,0.37,1.85,0.37
22Month,0,0,0,0,0,0.14,0.55,0.14,0,0.27,0,0,0,0.55,0,0.14,0,0,0,0,0.14
