stage,Cardiomyocyte,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,4.23,0,0,0,0,0,0.85,0,0,0.56,0,0,0
21Day,1.85,0,0.37,0,0,0,0,0.74,0,0.37,0,0,0
3Month,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0
22Month,0,0.14,0,0.27,1.91,0.14,0,0.27,0.14,0,0,0,0.14
