stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,2,0,0,0,1,1,0,0,11,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.85,1.97,0,3.38,0,0
21Day,0,0.37,0,0.37,0,0.37,0.37,0,0.37,0,0,0,0,0
3Month,0,0.21,0.21,0,0,0,0,0.1,0,0,0.62,0,0.1,0.52
22Month,0.27,0.96,1.91,0,0.14,0,0.55,0,0,0,3.55,0,0,0
