stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,5,0,0,0,0,0,1,0,0,0,0,1,2,9,0,2,122,0,1,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,45.66,4.51,0,0.28,0,0,0.85,0.28,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,10.73,1.48,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.73,0,0.1,0.1,0.1,0,0.21,0.42,0.62,0,0.21,0.31,0,0.1,0.21,0,0,0,0.1,1.87,0,0,0.73,6.14
22Month,0.14,0,0,0,0,0,0,0,1.37,0,0.27,0,0,0.14,0,0,0.41,0,0.82,0,0.14,1.5,0,1.09,0.14,1.09
